,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
FCHI_HGH_PRC,5483.0,4536.067286812146,939.7410600456734,2518.290039,2838.85166514,3103.2949710000003,3270.670068,3772.0800785,4485.100098,5281.5849610000005,5744.7757812,6106.9709957000005,6584.2059571,6944.77002
FCHI_LOW_PRC,5483.0,4469.220035177457,937.8739306114572,2401.149902,2749.9632472,3018.2260502,3190.9398928,3714.5,4421.75,5226.350098000001,5678.8998046,6039.112841599999,6485.7833886,6838.700195
FCHI_CLS_PRC,5483.0,4503.339533799745,938.8353201414801,2403.040039,2790.6989016400003,3068.3960692,3232.6599610000003,3740.5899655000003,4452.009766,5254.110107500001,5713.5619142,6069.7908694,6542.6828024999995,6922.330078
FCHI_VLM,4221.0,119789167.40108979,49553952.0424687,806600.0,40136880.0,61537100.0,69422000.0,85311800.0,110816000.0,143182000.0,181139600.0,211346000.0,281955520.00000036,531247600.0
FCHI_ADJ_PRC,5483.0,4503.339533799745,938.8353201414801,2403.040039,2790.6989016400003,3068.3960692,3232.6599610000003,3740.5899655000003,4452.009766,5254.110107500001,5713.5619142,6069.7908694,6542.6828024999995,6922.330078
GDAXI_OPN_PRC,5445.0,7814.97354140404,3147.532849473054,2203.969971,2733.1468752399996,3525.6580078,4024.7938966,5418.830078,7043.649902,10512.209961,12524.864258000001,13115.8056638,14968.82464868,15756.830078
GDAXI_HGH_PRC,5445.0,7871.605895439302,3157.16887380031,2319.649902,2791.79750016,3573.203955,4058.5379882,5472.029785,7084.069824,10612.719727,12585.6460936,13176.6382816,15075.18324212003,15802.669922
GDAXI_LOW_PRC,5445.0,7752.288716730946,3137.002399431277,2188.75,2682.5239941199998,3479.9619142,3992.8260253999997,5373.439941,6987.120117,10423.900391,12441.066211000001,13023.6404298,14870.475546520018,15714.94043
GDAXI_CLS_PRC,5445.0,7813.993274331865,3147.3328449463525,2202.959961,2734.01601568,3517.7720706,4020.0259278000003,5426.040039,7040.830078,10503.570313,12526.911914199998,13105.338281600001,15008.491328479999,15729.519531
GDAXI_VLM,5436.0,105902954.58057395,50347308.77759671,714300.0,30619245.0,43412025.0,56351050.0,75740100.0,96780900.0,124628250.0,164924900.0,195397925.0,294261054.9999999,510195600.0
GDAXI_ADJ_PRC,5445.0,7813.993274331865,3147.3328449463525,2202.959961,2734.01601568,3517.7720706,4020.0259278000003,5426.040039,7040.830078,10503.570313,12526.911914199998,13105.338281600001,15008.491328479999,15729.519531
CLOIL_OPN_PRC,5197.0,61.77898592476429,25.62177147747483,-14.0,20.0,26.496000000000002,28.891999600000002,41.970001,58.799999,81.269997,98.71199940000002,104.4519974,124.23680295999999,145.190002
CLOIL_HGH_PRC,5197.0,62.703028655955364,25.8347038129718,13.69,20.35960096,26.967999,29.389999,42.900002,59.52,82.199997,99.93199760000002,105.25,126.44280200000001,147.270004
CLOIL_LOW_PRC,5197.0,60.793226851837595,25.381608014889444,-40.32,19.45839904,26.0459994,28.446001,41.139999,57.75,79.879997,97.370003,103.2220014,122.11599807999998,142.490005
CLOIL_CLS_PRC,5197.0,61.77986337059842,25.63558637373214,-37.630001,19.870001,26.5,28.91,41.869999,58.630001,81.25,98.669998,104.40200239999999,124.22040107999999,145.179993
CLOIL_VLM,5191.0,299870.99287227896,221763.5603197059,20.0,45743.6,62128.5,74728.0,109621.0,256499.0,400764.0,638193.0,745132.0,949639.7000000007,2288230.0
CLOIL_ADJ_PRC,5197.0,61.77986337059842,25.63558637373214,-37.630001,19.870001,26.5,28.91,41.869999,58.630001,81.25,98.669998,104.40200239999999,124.22040107999999,145.179993
GOLD_OPN_PRC,5187.0,1015.9901486763061,489.0377201083287,255.0,263.899994,275.1300078,319.7199952,475.600006,1172.300049,1333.0,1663.3600096000005,1768.5,1908.82804214,2045.5
GOLD_HGH_PRC,5187.0,1021.1248894540196,492.00077057151094,256.100006,264.17201032,276.0,320.4599976,477.899994,1177.300049,1340.25,1674.1200198000006,1777.1200196,1918.5879931400013,2063.0
GOLD_LOW_PRC,5187.0,1010.4313863238866,485.66633617708095,255.0,263.5,275.0,318.9599976,474.400009,1166.300049,1325.900024,1654.3199706,1761.0900271,1898.2419578600002,2040.0
GOLD_CLS_PRC,5187.0,1015.8488915442454,488.89603980168727,255.100006,264.0,275.53000180000004,319.700012,476.100006,1171.5,1332.9000245,1663.8199706,1768.6800414999998,1907.6260033600004,2051.5
GOLD_VLM,4779.0,4635.965055450931,25572.544183261238,1.0,1.0,2.0,6.0,27.0,114.0,406.5,1460.1999999999998,6750.199999999993,165373.24000000005,386334.0
GOLD_ADJ_PRC,5187.0,1015.8488915442454,488.89603980168727,255.100006,264.0,275.53000180000004,319.700012,476.100006,1171.5,1332.9000245,1663.8199706,1768.6800414999998,1907.6260033600004,2051.5
SILVER_OPN_PRC,5189.0,15.784586056851031,8.488020179992931,4.026,4.20764,4.466,4.67,8.105,15.786,19.045,28.252,32.54199899999999,39.63519987999999,48.459999
SILVER_HGH_PRC,5189.0,15.89037001214107,8.582315873568039,4.026,4.213,4.479,4.678,8.121,15.84,19.225,28.5969992,32.859000399999985,40.265398239999996,49.52
SILVER_LOW_PRC,5189.0,15.665751796492579,8.379979370394725,4.026,4.19952,4.455,4.6496,8.087,15.68,18.934999,28.032000999999994,32.2218004,39.36180088,47.540001
SILVER_CLS_PRC,5189.0,15.77872520100212,8.480693433273704,4.026,4.20764,4.466,4.66,8.108,15.76,19.070999,28.327599999999993,32.61180019999999,39.46367911999999,48.584
SILVER_VLM,4499.0,1678.054678817515,9186.18911479443,1.0,1.0,2.0,3.0,11.0,49.0,162.0,574.8000000000025,2460.499999999992,48890.19999999985,170297.0
